"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Bonito A","PCH","DRS-PCH","PR","19.998","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003087/2010-42","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2.750","9/5/2017","9/5/2020","25°0'14,98""S","52°4'25,817""W"
"Bonito B","PCH","DRS-PCH","PR","18","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003085/2010-53","875/2020","Statkraft Energias Renováveis S.A. ","2.435","10/25/2018","10/25/2021","24°58'38,51""S","52°7'11,3""W"
"Botas","PCH","DRI-PCH","MS","18.2","Pardo","Parana, Verde , Peixe, e outros","48500.004015/2019-51","875/2020","Flamarpar Investimentos S.A. ","2.545","9/17/2019","11/17/2020","20°23'20""S","53°42'27""W"
"Braço Sul","PCH","DRS-PCH","MT","9.501","Braço Sul","Tapajos","48500.005564/2017-81","875/2020","Prospecto Participações e Negócios Ltda.; Vila Energia Renovável Ltda.; ","1.124","4/16/2019","4/16/2022","9°32'25,72""S","54°43'55,22""W"
"Brinquinho","PCH","DRS-PCH","GO","21","Doce","Paranaiba","48500.000049/2011-19","875/2020","FR Incorporadora Ltda. ","776","3/19/2020","1/6/2023","18°20'12,03""S","51°13'21,2""W"
"Bruaca","PCH","DRS-PCH","SC","15","da Bruaca","Cachoeira, Sao Joao e outros","48500.002724/2003-17","875/2020","Corupá Energia Ltda. ","1.965","7/18/2019","5/4/2022","26°25'17""S","49°22'55""W"
"Buriti Queimado","UHE","Registro Ativo","GO","142","Das Almas","Alto Tocantins e rio Preto","48500.006774/2001-67","875/2020","FURNAS-CENTRAIS ELÉTRICAS S.A ","3.165","12/31/2018","12/31/2020","14°50’17” S","49°12’40” W"
"Buritizinho","PCH","Aceito","GO","5.25","Ribeirão Cachoeirinha","Alto Tocantins e rio Preto","48500.003733/2007-76","875/2020","RC Administração e Participações S.A. ","2.872","8/4/2008","","14°37'11""S","47°46'21""W"
"Burro Branco","PCH","DRS-PCH","PR","10","da Areia","Parana, Iguacu","48500.000981/2017-37","875/2020","Dalba Engenharia e Empreendimentos Ltda. ","1.043","5/23/2018","5/23/2021","25°48'4,81""S","51°15'0,3""W"
"Butiá","PCH","DRS-PCH","PR","6","Butiá","Parana, Iguacu","48500.001803/2003-48","875/2020","Seta Engenharia S.A. ","91","1/16/2020","12/14/2022","26°3'46""S","52°5'20""W"
"Cabaçal 1","PCH","DRS-PCH","MT","13.5","Cabaçal","Alto Paraguai","48500.005944/2014-72","875/2020","São José Energia PCHs Ltda. ","1.713","6/17/2019","4/27/2022","15°23'57,45""S","58°5'39,27""W"
"Cabaçal 3","PCH","DRS-PCH","MT","7.5","Cabaçal","Alto Paraguai","48500.000417/2015-52","875/2020","Cabaçal Geração de Energia Elétrica Ltda. ","	1.983","7/18/2019","3/2/2022","15°7'6,5""S","58°26'19,27""W"
"Cabaçal 4","PCH","DRS-PCH","MT","6.2","Cabaçal","Alto Paraguai","48500.005937/2014-71","875/2020","São José Energia PCHs Ltda. ","492/2018 (Cautelar Judicial)","3/8/2018","","15°6'32,835""S","58°28'7,376""W"
