"Data de referência dos dados: 04 de setembro de 2020","","","","","","","","","","","","","",""
"Empreendimento","Tipo","Status","UF","Potência","Curso d'água","Sub-bacia","Processo","Resolução","Empreendedores","Ato","Data ato","Validade ato","Latitude Eixo Barramento","Longitude Eixo Barramento"
"Pedro Gomes","PCH","DRS-PCH","MS","30","Taquari","Alto Paraguai","48500.002970/2008-09","875/2020","BSM Sistemas Ambientais Ltda. ","1.218","5/5/2020","2/20/2023","18°9'18""S","54°27'28,43""W"
"Pegoraro","PCH","DRS-PCH","MT","5.2","Córrego do Salto","Alto Paraguai","48500.005045/2015-51","875/2020","Pegoraro Energia Ltda. ","2131","8/1/2017","8/1/2020","14°35'57,35""S","58°12'34,37""W"
"Peixe","PCH","DRI-PCH","GO/MS","20.4","Aporé","Paranaiba","48500.005657/2019-77","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Ecoz Empreendimentos imobiliários Ltda.; ","3.207","11/26/2019","1/26/2021","19°5'44""S","51°44'41""W"
"Penteado","PCH","DRS-PCH","SC","21","Pelotinhas","Pelotas","48500.002448/2007-38","875/2020","Lautis Empreendimentos e Participações Ltda. ","1.218","5/5/2020","3/23/2023","28°17'7,3""S","50°37'0,2""W"
"Pequi","PCH","DRS-PCH","MS","6.502","Taquarizinho","Alto Paraguai","48500.005307/2018-20","875/2020","Black Suffolk Participações e Assessoria Ltda. ","268","2/5/2020","2/5/2023","18°39'43,54""S","54°44'25,61""W"
"Peralta","PCH","DRS-PCH","MS","14","Coxim","Alto Paraguai","48500.004664/2008-07","875/2020","Bimetal Indústria Metalúrgica Ltda. ","329/2017 (Comunicado Nº 12/2020)","","","19°8'4,467""S","54°12'58,538""W"
"Perdigão","PCH","DRS-PCH","MG","12","Lambari","Alto Sao Francisco, ate Tres Marias","48500.000626/2005-81","875/2020","Luzboa Um S.A. ","1.917","7/7/2020","4/12/2023","19°54'22""S","45°6'10""W"
"Perdizes","PCH","DRS-PCH","GO","9","Perdizes","Alto Araguaia e rio Claro","48500.002077/2015-02","875/2020","Hidrelétrica Vale do Perdizes Ltda. ","3.540","12/16/2019","6/29/2023","16°20'51,1""S","52°26'44,2""W"
"Perdizes","PCH","DRS-PCH","MG","13.25","Araguari","Paranaiba","48500.006279/2013-53","875/2020","Autazes Empreendimentos e Participações Ltda. ","2.800","10/17/2019","10/18/2022","19°38'46""S","47°27'21""W"
"Perudá Montante","PCH","DRS-PCH","MT","20.28","Cuiabá","Alto Paraguai","48500.003448/2016-46","875/2020","Maturati Participações S.A.; Meta Serviços e Projetos Ltda.; ","1921","7/7/2017","7/7/2020","14°48'48,73""S","56°20'56,73""W"
"Pião","PCH","DRS-PCH","RS","7.2","Arroio São Tomé","Taquari","48500.003606/2001-56","875/2020","Futura Energias Renováveis Ltda. ","3756","12/8/2017","12/8/2020","28°48'57""S","50°46'33""W"
"Piãozinho","PCH","DRS-PCH","MG","5.05","Ribeirão Jordão","Paranaiba","48500.000036/2014-92","875/2020","Autazes Empreendimentos e Participações Ltda. ","3.583","12/19/2019","8/18/2022","18°36'2""S","48°7'5""W"
"Piau","PCH","DRS-PCH","MG","13","Suaçuí Grande","Doce","48500.002287/2008-63","875/2020","Consita Ltda.; Pronerg Empreendimentos Energéticos Ltda.; ","1816","6/29/2017","6/29/2020","18°41'19""S","41°47'34""W"
"Pimentel I","PCH","DRS-PCH","RJ","7.99","Grande","Paraiba do Sul","48500.000731/2009-97","875/2020","Energeo Engenharia e Consultoria S/C Ltda. ","526","3/20/2018","3/20/2021","21°46'15,52""S","41°56'53,27""W"
"Pinhalito","PCH","DRS-PCH","PR","20.4","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003654/2010-61","875/2020","Statkraft Energias Renováveis S.A. ","2.433","10/25/2018","10/25/2021","24°54'27""S","52°40'0""W"
"Pinhalzinho","PCH","DRS-PCH","RS","12","da Várzea","Uruguai, Varzea, Turvo e outros","48500.002273/2008-40","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","243","1/30/2019","1/8/2022","28°7'3""S","52°59'40""W"
"Pinhalzinho","PCH","DRS-PCH","PR","10","da Areia","Parana, Iguacu","48500.001022/2017-39","875/2020","Dalba Engenharia e Empreendimentos Ltda. ","1.042","5/24/2018","5/24/2021","25°52'50,99""S","51°21'12,04""W"
"Pinheiro","PCH","DRS-PCH","SC","8.6","Caveiras","Canoas","48500.001087/2013-51","875/2020","Estelar Engenheiros Associados Ltda.; Pinheiro Energética S.A.; ","2217","8/9/2019","8/5/2022","27°46'16,5""S","50°31'34,3""W"
"Pinheiro Preto (Antiga B2)","PCH","DRS-PCH","SC","6","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.006166/2017-81","875/2020","MSUL Energias Renováveis Ltda. ","1984","7/19/2019","7/19/2022","27°4'7,3""S","51°14'52,9""W"
"Piolhinho","PCH","DRI-PCH","MT","10","Piolhinho","Madeira","48500.000133/2020-23","875/2020","Campo Roxo Administração e Participação S/S Ltda. ","1.874","6/29/2020","8/29/2021","13°54'14,71""S","59°54'51,63""W"
"Piquete","PCH","Aceito","GO","12","Maranhão","Alto Tocantins e rio Preto","48500.005976/2002-27","875/2020","Viva Ambiental e Serviços Ltda. ","44","1/27/2004","","15°19'56""S","47°57'48""W"
"Piraju II","PCH","DRS-PCH","SP","28.5","Paranapanema","Parana, Paranapanema, Amambai e outros","48500.002154/2010-10","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","3386","10/6/2017","10/6/2020","23°9'15""S","49°24'37""W"
"Pirapitinga","PCH","DRS-PCH","MG","8","Suaçuí Pequeno","Doce","48500.003697/2015-51","875/2020","Brix Empreendimentos Imobiliários Ltda. ","912","5/14/2018","5/14/2021","18°41'32,25""S","42°12'38,57""W"
"Piratuba","PCH","DRS-PCH","SC","13.5","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.004642/2011-34","875/2020","Indiavaí Energética S.A. ","1352","5/18/2017","5/18/2020","27°23'37,6""S","51°45'51""W"
"Pituquinhas","PCH","DRS-PCH","PR","13.5","Capão Grande","Parana, Iguacu","48500.003888/2011-99","875/2020","Reinhofer Energia Ltda. ","164","1/24/2019","4/26/2022","25°45'9""S","51°58'46""W"
"Poldros","PCH","DRS-PCH","MG","7","Ribeirão do Fetal","Urucuia - Sao Francisco","48500.004007/2011-57","875/2020","Renova PCH Ltda ","3.209/2016 (Comunicado nº 13/2020)","","","15°18'53,25""S","46°24'51,25""W"
"Ponte de Pedra 01","PCH","DRS-PCH","GO","22","Ponte de Pedra","Paranaiba","48500.002004/2006-22","875/2020","RV Energia Ltda. ","445","2/18/2019","2/18/2022","17°10'12,6"" S","50°51'1,6"" W"
"Ponte de Pedra 02","PCH","DRS-PCH","GO","18","Ponte de Pedra","Paranaiba","48500.002059/2006-14","875/2020","Paraúna Energia Ltda ","1.130","6/26/2018","6/26/2021","17°13'46,4""S","50°45'11,2""W"
"Porcos","PCH","Aceito","MG","5.5","Santo Antônio","Doce","48500.008694/2008-84","875/2020","Gallway Projetos e Energia do Brasil S.A. ","3.207","8/9/2011","","19°8'46,1""S","43°20'36""W"
"Portão","PCH","DRS-PCH","SC","16","Caveiras","Uruguai, Inhanduva, Peixe e outros","48500.002494/2018-90","875/2020","Vilson Marcos Testa; Rui Luiz Gaio; ","254","2/4/2020","2/4/2023","27°38'1,79""S","50°46'39,71""W"
"Porto da Bota","PCH","DRS-PCH","PR","30","Piquiri","Parana, Paranapanema, Amambai e outros","48500.000958/2010-76","875/2020","Alupar Investimento S.A. ","510","3/8/2018","3/8/2021","24°51'12""S","52°44'27""W"
"Porto do Buriti (Antiga A2E17)","PCH","DRS-PCH","MT","19","Buriti","Tapajos","48500.000492/2015-13","875/2020","Atiaia Energia S.A. ","523","2/21/2020","5/20/2022","12°55'47,76""S","58°25'35,58""W"
"Porto Feliz","PCH","DRS-PCH","SP","22","Tietê","Parana, Tiete e outros","48500.002669/2009-78","875/2020","Porto Feliz Energética Ltda. ","3.461","12/12/2019","12/14/2022","23°10'26""S","47°30'54""W"
"Porto Ferreira","UHE","DRS-UHE","SC","40","Chapecó","Uruguai, Chapeco,Passo Fundo e outros","48500.005978/2010-33","875/2020","Minas PCH S.A; CPFL Energias Renováveis S.A. (Antiga ERSA); ","1.904","7/1/2020","7/1/2023","26°56'27""S","52°55'4""W"
"Porto Firme","PCH","DRS-PCH","MG","16.5","Piranga","Doce","48500.002649/2007-35","875/2020","Rima Industrial S.A. ","1264","5/10/2017","5/10/2020","20°41'3""S","43°5'1""W"
"Porto Galeano","UHE","Registro Ativo","MS","81","Sucuriú","Parana, Verde , Peixe, e outros","48500.003920/2011-36","875/2020","Energest S.A; Statkraft Energias Renováveis S.A.; ","1.966","7/5/2017","7/15/2019","20°4'47,901""S","52°9'12,155""W"
"Porto Guaritá","UHE","DRI-UHE","PR","47.35","Ivaí","Parana, Paranapanema, Amambai e outros","48500.003037/2020-37","875/2020","Paineira Participações e Empreendimentos Ltda. ","1.831","6/26/2020","8/26/2021","23°59'44,9""S","51°38'36""W"
"Porto Santa Rita Alto","PCH","DRS-PCH","MG","16.5","Corrente Grande","Doce","48500.006139/2013-85","875/2020","Luzboa Quatro S.A. ","2.213","7/31/2020","12/10/2022","18°56'12,3""S","42°21'59,8""W"
"Posse","PCH","DRS-PCH","RJ","15.8","Piabanha","Paraiba do Sul","48500.002919/2018-61","875/2020","Maxxima Energia Ltda. ","1.083","4/27/2020","4/27/2023","22°17'21,23""S","43°6'38,16""W"
"PPG-147 – Foz do Sacre","UHE","Registro Ativo","AM/MT","117","Papagaio","Tapajos","48500.005109/2015-13","875/2020","Pan Partners Administração Patrimonial Ltda. ","2.741","9/1/2017","8/15/2018","12°55'36,6""S","58°17'44,1""W"
"Prazeres","PCH","DRS-PCH","BA","16","Jequiriçá","Jequirica, Paraguacu e outros","48500.003693/2015-72","875/2020","L&S PAR Ltda.; Flora Agro Negócio Ltda.; Alupar Investimentos S.A.","1.436","5/21/2020","4/28/2023","13°15'19,488""S","39°4'6,135""W"
"Preto 2","PCH","DRS-PCH","BA","5.5","Preto","Jequirica, Paraguacu e outros","48500.003726/2015-84","875/2020","L&S PAR Ltda.; Flora Agro Negócio Ltda.; ","1.436","5/21/2020","4/12/2023","13°32'19,936""S","39°40'2,58""W"
"Primavera","PCH","DRS-PCH","MT","16","Ariranha","Alto Paraguai","48500.001250/2011-13","875/2020","RBO Energia S.A. ","1978","7/18/2019","7/18/2022","17°50'33""S","53°39'42""W"
"Primeira","PCH","DRI-PCH","SC","7.7","São Bento","Uruguai, Inhanduva, Peixe e outros","48500.002085/2020-16","875/2020","Hidrelétrica Sens Ltda ","1.599","6/8/2020","8/8/2021","27°3'1,66""S","51°20'52,44""W"
"Pucon 2","PCH","DRS-PCH","MT","7.1","Culuene","Xingu e Paru","48500.005191/2016-67","875/2020","KLN1 Geradora de Energia S.A. ","2890","9/14/2017","9/14/2020","14°37'10""S","53°55'59""W"
"Quartel I","PCH","DRS-PCH","MG","27.019","Paraúna","Das Velhas - Sao Francisco","48500.004336/2017-93","875/2020","SPE Quartel I Geradora de Energia Elétrica S.A ","323","2/11/2019","2/11/2022","18°39'58,24""S","43°53'16,11""W"
"Quartel II","PCH","DRS-PCH","MG","27.019","Paraúna","Das Velhas - Sao Francisco","48500.004339/2017-27","875/2020","SPE Quartel II Geradora de Energia Elétrica S.A ","321","2/11/2019","2/11/2022","18°38'19,95""S","43°54'42,45""W"
"Quartel III","PCH","DRS-PCH","MG","27.019","Paraúna","Das Velhas - Sao Francisco","48500.004340/2017-51","875/2020","SPE Quartel III Geradora de Energia Elétrica S.A ","322","2/11/2019","2/11/2022","18°37'48,87""S","43°56'22,53""W"
"Queimado","PCH","DRI-PCH","RS","8.18","Fão","Taquari","48500.000879/2020-37","875/2020","Electra Power Geração de Energia S.A. ","706","3/9/2020","5/9/2021","29°11'36,75""S","52°13'51,87""W"
"Rabo de Galo","PCH","DRS-PCH","SC","5.05","Das Antas","Uruguai, Varzea, Turvo e outros","48500.001097/2016-39","875/2020","Benessere Incorporações S.A. ","2.213","7/31/2020","6/22/2023","26°44'39""S","26°44'45,91""S"
"Ranchinho I","PCH","DRS-PCH","GO","14","Corrente","Paranaiba","48500.000352/2014-64","875/2020","FR Incorporadora Ltda. ","1.702","6/18/2019","7/27/2022","18º51’42’’S","51º30’56’’W"
"Rancho Grande","PCH","DRS-PCH","PR","20.5","Chopim","Parana, Iguacu","48500.000997/2017-40","875/2020","Rancho Grande Energia SPE Ltda. ","647","3/11/2019","3/11/2022","26°19' 18,8"" S","52° 9' 58,9"" W"
"Rancho Grande","PCH","DRS-PCH","MT","9.2","Córrego do Sangue","Alto Paraguai","48500.002081/2014-81","875/2020","Boven Comercializadora de Energia Ltda. ","597","4/6/2018","12/4/2021","15°12'46,88""S","58°38'50,06""W"
"Raposo","PCH","DRS-PCH","SC","6.9","Pelotinhas","Pelotas","48500.002623/2017-69","875/2020","Múltipla Participações Ltda.; Gehidro Engenharia e Consultoria Ltda.; Enebras Projetos de Usinas Hidrelétricas Ltda.","2266","8/19/2019","8/19/2022","28°11'03""S","50°29'13""W"
"RC 2","PCH","DRS-PCH","MG","5.8","do Carmo","Doce","48500.002323/2009-70","875/2020","ACESA - Alterosa Centrais Elétricas S.A.; Capital Hydro Energy Ltda.; Milênio Participações Ltda.","2.305","9/13/2019","11/25/2022","20°20'11""S","43°15'38,83""W"
"Recreio Jusante","PCH","DRI-PCH","MS","13","Pardo","Parana, Verde , Peixe, e outros","48500.004109/2019-20","875/2020","Flamarpar Investimentos S.A. ","2.547","9/17/2019","11/17/2020","20°12'44,56""S","53°47'50,05""W"
"Refugiado","PCH","DRS-PCH","RS","9","Refugiado","Taquari","48500.004004/2018-90","875/2020","Energética Quebra Dentes S.A. ","3.569","12/18/2019","12/18/2022","28°44'38""S","50°58'17""W"
"Renascença","PCH","DRS-PCH","GO","27.1","Tocantinzinho","Alto Tocantins e rio Preto","48500.005850/2016-65","875/2020","RC Administração e Participações S.A. ","2;637","8/28/2017","8/28/2020","14°27'43,36""S","47°40'41,28""W"
"Renato","PCH","DRS-PCH","MG","5.2","Ribeirão do Jaguara","Grande","48500.001148/2016-22","875/2020","Antônio Carlos Durso Carneiro ","2372","8/18/2017","8/18/2020","20°3'5,59""S","47°21'59,56""W"
"Retirinho","PCH","DRS-PCH","GO","26","Verde","Paranaiba","48500.005965/2012-26","875/2020","Atiaia Energia S.A. ","1.917","7/7/2020","5/20/2023","18°52'19""S","51°4'27""W"
"Retiro 1","PCH","DRS-PCH","MG","19","Suaçuí Pequeno","Doce","48500.003698/2015-03","875/2020","Brix Empreendimentos Imobiliários Ltda. ","1.218","5/5/2020","3/23/2023","18°38'39""S","42°19'7""W"
"Rialma","PCH","DRS-PCH","GO","18","Das Almas","Tocantins, entre os rios Preto e Parana","48500.000654/2007-88","875/2020","EDP Energias do Brasil S.A. ","1.924/2018 (Comunicado nº 04/2019)","","","15°12'57,1""S","49°33'6""W"
"Ribas","PCH","DRI-PCH","MS","13.6","Ribeirão das Botas","Parana, Verde , Peixe, e outros","48500.003119/2009-76","875/2020","Hacker Industrial Ltda; Enebras Projetos de Usinas Hidrelétricas Ltda; ","2.308","8/10/2020","10/10/2021","20°25'44""S","53°46'20""W"
"Ribeirão do Salto","PCH","DRS-PCH","TO","8","Ribeirão do Salto","Tocantins, entre os rios Preto e Parana","48500.005907/2016-26","875/2020","Agrícola Sete Campos Ltda. ","4.014","12/1/2017","12/1/2020","11°56'41,61""S","46°35'53,127""W"
"Rio do Forno","PCH","DRS-PCH","PR","8.879","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003090/2010-66","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2.340","8/10/2017","8/10/2020","25°0'12,6""S","51°59'6,14""W"
"Rio do Sul","PCH","DRS-PCH","SC","10","Itajaí-Açu","Itajai","48500.004517/2010-43","875/2020","Rio do Sul Energética Ltda. ","1.218","5/5/2020","12/21/2022","27°8'8,38""S","49°31'53,93""W"
"Rio Grandina","PCH","DRI-PCH","RJ","7.1","Grande","Paraiba do Sul","48500.002175/2019-65","875/2020","Múltipla Participações Ltda. ","1.366/2019 (Comunicado nº 11/2020)","","","22°11'40""S","42°30'50""W"
"Rio Manso","PCH","DRS-PCH","MG","8.349","Lourenço Velho","Grande","48500.005781/2007-07","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2268","8/1/2017","8/1/2020","22°22'45,949""S","45°17'58,482""W"
"Riqueza","PCH","DRS-PCH","SC","8.5","das Antas","Uruguai, Varzea, Turvo e outros","48500.001032/2015-11","875/2020","Riqueza Energética SPE Ltda.; Ecoz Empreendimentos Imobiliários Ltda.; ","3.253","11/28/2019","8/17/2022","26°57'9,55""S","53°23'56,12""W"
"Ritinha","PCH","DRS-PCH","GO/MS","20","Aporé","Paranaiba","48500.000901/2017-43","875/2020","Minas PCH S.A. ","1.532","7/12/2018","7/12/2021","19°8'4""S","51°39'36""W"
"Rochedo (Ampliação)","PCH","DRS-PCH","GO","13","Meia Ponte","Paranaiba","48500.002174/2004-91","875/2020","CELG Geração e Transmissão S.A. ","1.023","4/17/2020","4/17/2023","17°23'17,58""S","49°13'2""W"
"Roda Velha","PCH","DRS-PCH","BA","11.5","das Fêmeas","Grande e outros - Sao Francisco","48500.002467/2015-74","875/2020","E&C Administração e Serviços ","1.917","7/7/2020","3/16/2023","12°27'21""S","45°11'31""W"
"Rosário","PCH","DRS-PCH","MG","10.98","do Carmo","Doce","48500.007464/2008-06","875/2020","Luzboa Quatro S.A. ","2.213","7/31/2020","2/11/2023","20°18'4,126""S","43°4'21,845""W"
"SAC-014","PCH","DRS-PCH","MT","26","Sacre","Tapajos","48500.004849/2013-71","875/2020","Pan Partners Administração Patrimonial Ltda. ","92/2017 (Comunicado nº 10/2020)","","","12°58'50,487""S","58°12'17,432""W"
"Sacos","UHE","DRI-UHE","BA","50","Formoso","Corrente e outros - Sao Francisco","48500.005658/2019-11","875/2020","EBDE Energia S.A. ","3.265","11/26/2019","1/26/2021","13°39'13""S","44°29'27""W"
"Sacramento","PCH","DRS-PCH","MG","18.4","Araguari","Paranaiba","48500.006278/2013-17","875/2020","Autazes Empreendimentos e Participações Ltda. ","150","1/24/2020","12/7/2022","19°45'40,7""S","47°21'53,6""W"
"Sakura","PCH","DRS-PCH","SC","12.6","Marombas","Canoas","48500.006421/2010-10","875/2020","Múltipla Participações Ltda.; Statkraft  Energias Renováveis S.A.; ","3.245","12/2/2019","9/29/2022","27°16'12""S","50°44'23""W"
"Saltinho","PCH","DRS-PCH","RS","27","Ituim","Taquari","48500.002364/2001-83","875/2020","Saltinho Energética S.A. ","3465","12/13/2019","12/13/2022","28°37'7,56""S","51°21'15,84""W"
"Saltinho","PCH","DRS-PCH","PR","6.97","Santana","Parana, Iguacu","48500.003691/2015-83","875/2020","Saltinho Energética Ltda. ","3.619","12/20/2019","12/6/2022","25°55'54""S","51°20'53""W"
"Saltinho do Itabapoana","PCH","DRS-PCH","ES/RJ","7.5","Itabapoana","Litoraneas do Espirito Santo","48500.001379/2008-26","875/2020","WEnergy Participações S.A. ","2208","7/26/2017","7/26/2020","21°1'22,7""S","41°43'10,2""W"
"Salto","PCH","DRS-PCH","GO","22","Piracanjuba","Paranaiba","48500.003069/2011-41","875/2020","Alupar Investimento S.A. ","746","3/22/2017","3/22/2020","17°17'3""S","48°12'8""W"
"Salto Alemã","PCH","DRS-PCH","PR","29.8","Chopim","Parana, Iguacu","48500.004996/2000-37","875/2020","Copel Geração e Transmissão S.A. ","1.436","5/21/2020","4/14/2023","26°4'33""S","52°35'52""W"
"Salto Cristo Rei","PCH","DRI-PCH","SC","6","Irani","Uruguai, Chapeco,Passo Fundo e outros","48500.005376/2018-33","875/2020","Celulose Irani S.A ","1.999/2019 (Comunicado nº 12)","","","26°56'10""S","51°53'43""W"
"Salto da Barra","PCH","DRS-PCH","PR","9","Butiá","Parana, Iguacu","48500.001804/2003-19","875/2020","Arcadis Logos Energia S.A.; Seta Engenharia S.A.; ","774","3/19/2020","12/14/2022","26°0'40""S","52°5'52""W"
"Salto do Sapo Parecis","CGH *","DRS-PCH","MT","4.4","do Sapo","Alto Paraguai","48500.000828/2010-33","875/2020","Hidroelétrica Médio Norte Ltda. ","3199","9/14/2015","9/14/2018","14°23'55,24""S","57°46'12,39""W"
"Salto do Soque","PCH","DRI-PCH","SC","15","do Peixe","Uruguai, Inhanduva, Peixe e outros","48500.001743/2004-07","875/2020","Rio Tainhas Geração de Energia Ltda. ","1.276","5/8/2019","8/22/2020","27°5'31""S","51°14'53""W"
"Salto Duran","UHE","DRS-UHE","GO","39.501","Claro","Paranaiba","48500.003776/2011-38","875/2020","CELG Geração e Transmissão S.A.; FR Incorporadora Ltda.; ","2905","9/13/2017","9/13/2020","18°21'2""S","51°15'14""W"
"Salto Grande","PCH","DRI-PCH","PR","10","Pirapó","Parana, Paranapanema, Amambai e outros","48500.001695/2020-94","875/2020","Baer Participações Ltda ","1.417","5/21/2020","7/21/2021","22°58'51,99""S","52°2'11,11""W"
"Salto Grande","UHE","Aceito","PR","47","Chopim","Parana, Paranapanema, Amambai e outros","48500.005427/2012-31","875/2020","Copel Geração e Transmissão S.A. ","1.451","5/10/2013","","25°59'32""S","52°44'22""W"
"Salto Grande","PCH","DRS-PCH","PR","29.997","Piquiri","Parana, Paranapanema, Amambai e outros","48500.003086/2010-06","875/2020","Omega Desenvolvimento de Energia 1 S.A. ","2.342","8/10/2017","8/10/2020","25°0'22,049""S","52°15'50,263""W"
"Salto Maciel","PCH","DRI-PCH","MT","17","Sepotuba","Alto Paraguai","48500.001439/2020-05","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda; Frigorífico Nutribrás S.A; Carlos Sérgio Arantes","916","4/2/2020","6/2/2021","14°41'21""S","57°48'8""W"
"Salto Quebra Dentes","PCH","DRS-PCH","RS","5.7","Quebra Dentes","Taquari","48500.004000/2018-10","875/2020","Energética Quebra Dentes S.A. ","1.717","6/17/2020","6/17/2023","28°40'22""S","50°54'26""W"
"Salto Vermelho I","PCH","DRS-PCH","MT","13","Vermelho","Alto Paraguai","48500.005150/2010-85","875/2020","Pequena Central Hidrelétrica Salto Vermelho SPE Ltda ","1.259/2017 (Cautelar nº 1936/2019)","","","15°3'30""S","58°2'19""W"
"Santa Bárbara","PCH","DRS-PCH","GO","14","Piracanjuba","Paranaiba","48500.002514/2011-56","875/2020","FR Incorporadora Ltda. ","53","1/13/2020","12/20/2022","17°8'45,077""S","48°8'24,094""W"
"Santa Bárbara","PCH","DRS-PCH","ES","12.5","Jucu Braço Norte","Litoraneas do Espirito Santo","48500.003070/2015-08","875/2020","Enervix Energias do Espírito Santo Ltda. ","1998","7/22/2019","7/22/2022","20°22'35""S","40°34'1""W"
"Santa Cruz","PCH","DRS-PCH","MT","11.2","Curisevo","Xingu e Paru","48500.002546/2015-85","875/2020","Energebrasil Hidrelétrica Ltda. ","3.353","12/6/2019","2/8/2023","13°20'0""S","53°34'55""W"
"Santa Maria","PCH","DRS-PCH","PR","5.5","Andrada","Parana, Iguacu","48500.002516/2015-79","875/2020","Hidroelétrica Cascavel SPE Ltda. ","778","3/19/2020","2/8/2023","25°9'18""S","53°25'4""W"
"Santa Mariana","PCH","DRS-PCH","PR","6.7","Laranjinha","Parana, Paranapanema, Amambai e outros","48500.006025/2008-78","875/2020","GRX Engenharia Ltda. ","774","3/19/2020","12/21/2022","23°5'42,752""S","50°27'33,222""W"
"Santa Rosa II","PCH","DRS-PCH","GO","26","Meia Ponte","Paranaiba","48500.005595/2010-65","875/2020","Minas PCH S.A.; Celg Geração & Transmissão S.A.; Sonnen Empreendimentos e Participações Ltda.","1.218","5/5/2020","1/17/2023","18°28'23,286""S","49°36'56,138""W"
"Santa Teresa","PCH","DRS-PCH","ES","11","Ribeirão Sauanha","Litoraneas do Espirito Santo","48500.002935/1999-66","875/2020","Energest S.A. ","346","2/23/2018","2/23/2021","20° 0' 15"" S","40° 29' 25"" O"
"Santana","PCH","DRS-PCH","SP","24.248","Pardo","Parana, Paranapanema, Amambai e outros","48500.006502/2007-14","875/2020","Hidrotérmica S.A. ","2.213","7/31/2020","5/21/2023","22°58'3""S","49°47'22""W"
"Santana 3A","PCH","DRS-PCH","RS","29.6","Santana","Pelotas","48500.006034/2008-69","875/2020","Santana Energética S.A. ","778","3/19/2020","2/8/2023","28°21'5,52""S","50°42'54,3""W"
"Santo André Alto","PCH","DRS-PCH","MG","12","Ribeirão Santo André","Urucuia - Sao Francisco","48500.001980/2012-03","875/2020","Orteng Energia Ltda. ","776","3/19/2020","1/23/2023","16°26'45,488""S","45°55'2,372""W"
"Santo Ângelo","PCH","DRI-PCH","RS","15.74","Ijuí","Uruguai, Ijui, piratinim e outros","48500.001965/2020-67","875/2020","Enebras Projetos de Usinas Hidrelétricas Ltda.; Frigorífico Nutribrás S.A.; Enebras Tecnologia Industrial Ltda., Coprel Cooperativa
de Geração de Energia e Desenvolvimento, Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.","1.397","5/20/2020","7/20/2021","28°20'22,56""S","54°13'35,75""W"
"Santo Antônio","PCH","Aceito","MG","7","Santo Antônio","Doce","48500.008692/2008-95","875/2020","Gallway Projetos e Energia do Brasil S.A. ","2.553","6/17/2011","","19°13'01,2""S","43°16'00""W"
"Santo Antônio","PCH","DRS-PCH","GO","8","do Peixe","Paranaiba","48500.003154/2011-18","875/2020","FR Incorporadora Ltda. ","30","1/8/2020","11/29/2022","17°14'55,07""S","48°35'11,18""W"
"Santo Antônio da Licurioba","PCH","DRS-PCH","BA","11.5","Santo Antônio","Jequirica, Paraguacu e outros","48500.003306/2007-98","875/2020","Santo Antônio da Licurioba Energética S.A. ","3081","9/25/2017","9/25/2020","12°25'34,84""S","41°24'41,51""W"
"Santo Antônio do Garças","PCH","DRS-PCH","MT","25","das Garças","Alto Araguaia e rio Claro","48500.002084/2014-15","875/2020","Energias Complementares do Brasil Geração de Energia Elétrica S.A. ","778","3/19/2020","2/6/2023","15°43'30,78""S","52°47'51,56""W"
"Santo Cristo","PCH","DRI-PCH","SC","19.4","Rio Pelotinhas","Pelotas","48500.003934/2020-41 e 48500.003935/2020-95","875/2020","ESB Engenharia Ltda ","2.408","8/20/2020","10/20/2021","28°15'47""S","50°40'01""W"
"Santo Inácio","PCH","DRS-PCH","RS/SC","28.5","Pelotas","Pelotas","48500.001402/2012-69","875/2020","São Joaquim Energética S.A ","2076","7/20/2017","7/20/2020","28°28'32,99""S","50°7'18,56""W"
"São Bartolomeu","PCH","DRS-PCH","GO/TO","5.8","Mosquito","Tocantins, entre os rios Preto e Parana","48500.000156/2013-17","875/2020","JA Incorporadora Ltda. e CELG Geração e Transmissão S.A.; CELG Geração e Transmissão S.A.; ","774","3/19/2020","12/13/2022","12°53'33""S","46°21'48""W"
"São Bento","PCH","DRS-PCH","GO","12","São Bento","Paranaiba","48500.002555/2016-57","875/2020","Prospecto Participações e Negócios Ltda. ","2.778","9/6/2017","9/6/2020","18°7'57,01""S","47°38'23,83""W"
"São Bento","PCH","DRS-PCH","ES","16","Jucu Braço Norte","Doce","48500.000647/2007-12","875/2020","EDP Energias do Brasil S.A. ","3047","9/8/2015","9/8/2018","20°19'0""S","40°39'0""W"
"São Gonçalo","PCH","DRS-PCH","MG","23","Abaeté","Das Velhas - Sao Francisco","48500.002525/2003-82","875/2020","Sigma Energia S.A ","550","3/14/2018","3/14/2021","18°12'2""S","45°38'47""W"
